
Jun 15 06:19:00: %SEC_LOGIN-5-LOGIN_SUCCESS: Login Success [user: virp_solbac] [Source: 10.142.12.50] [localport: 22] at 06:19:00 GST Thu Jun 15 2023
Jun 15 06:19:10: %SYS-6-LOGOUT: User virp_solbac has exited tty session 1(10.142.12.50)
Jun 15 06:19:52: %SEC_LOGIN-5-LOGIN_SUCCESS: Login Success [user: virp_solbac] [Source: 10.142.12.50] [localport: 22] at 06:19:52 GST Thu Jun 15 2023
Jun 15 06:20:01: %SYS-6-LOGOUT: User virp_solbac has exited tty session 1(10.142.12.50)
Jun 15 07:43:34: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/10, changed state to up
Jun 15 18:35:01: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:35:04: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:35:04: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet4/0/12, changed state to down
Jun 15 18:35:05: %LINK-3-UPDOWN: Interface GigabitEthernet4/0/12, changed state to down
Jun 15 18:35:21: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:35:24: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:35:36: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:35:39: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:35:40: %LINK-3-UPDOWN: Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:35:45: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:35:51: %LINK-3-UPDOWN: Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:35:55: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:35:56: %PM-4-ERR_RECOVER: Attempting to recover from storm-control err-disable state on Gi4/0/9
Jun 15 18:35:59: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:36:03: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:36:08: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:36:15: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:36:17: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:36:22: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:36:22: %LINK-3-UPDOWN: Interface GigabitEthernet4/0/9, changed state to up
Jun 15 18:36:23: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet4/0/9, changed state to up
Jun 15 18:36:29: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:36:36: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:36:48: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:36:50: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:36:52: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:36:59: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:37:01: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:37:04: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:37:16: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:37:18: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:37:20: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:37:28: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:37:40: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:37:43: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:37:44: %LINK-3-UPDOWN: Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:37:48: %LINK-3-UPDOWN: Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:37:49: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:37:50: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:38:04: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:38:10: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:38:16: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:38:20: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:38:22: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:38:26: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:38:28: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:38:31: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:38:43: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:38:49: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:39:08: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:39:12: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:39:13: %LINK-3-UPDOWN: Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:39:18: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:39:36: %LINK-3-UPDOWN: Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:39:41: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:39:43: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:39:59: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:40:20: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:40:23: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:40:24: %LINK-3-UPDOWN: Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:40:30: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:40:35: %PM-4-ERR_DISABLE: storm-control error detected on Gi4/0/9, putting Gi4/0/9 in err-disable state
Jun 15 18:40:35: %STORM_CONTROL-3-SHUTDOWN: A packet storm was detected on Gi4/0/9. The interface has been disabled.
Jun 15 18:40:36: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet4/0/9, changed state to down
Jun 15 18:40:37: %LINK-3-UPDOWN: Interface GigabitEthernet4/0/9, changed state to down
Jun 15 18:40:42: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:40:45: %LINK-3-UPDOWN: Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:40:46: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:40:48: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:40:50: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:40:59: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:41:18: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:41:28: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:41:33: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:41:35: %PM-4-ERR_RECOVER: Attempting to recover from storm-control err-disable state on Gi4/0/9
Jun 15 18:41:44: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:41:48: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:41:55: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:41:57: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:42:00: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:42:04: %LINK-3-UPDOWN: Interface GigabitEthernet4/0/9, changed state to up
Jun 15 18:42:04: %PM-4-ERR_DISABLE: storm-control error detected on Gi4/0/9, putting Gi4/0/9 in err-disable state
Jun 15 18:42:04: %STORM_CONTROL-3-SHUTDOWN: A packet storm was detected on Gi4/0/9. The interface has been disabled.
Jun 15 18:42:06: %LINK-3-UPDOWN: Interface GigabitEthernet4/0/9, changed state to down
Jun 15 18:42:08: %LINK-3-UPDOWN: Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:42:13: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:42:22: %LINK-3-UPDOWN: Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:42:36: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:42:48: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:42:51: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:42:56: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:42:59: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:43:04: %PM-4-ERR_RECOVER: Attempting to recover from storm-control err-disable state on Gi4/0/9
Jun 15 18:43:13: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:43:16: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:43:33: %LINK-3-UPDOWN: Interface GigabitEthernet4/0/9, changed state to up
Jun 15 18:43:34: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet4/0/9, changed state to up
Jun 15 18:43:40: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:43:50: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:43:57: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:44:02: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:44:04: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:44:08: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:44:22: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:44:29: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:44:36: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:44:41: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:44:42: %LINK-3-UPDOWN: Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:44:47: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:44:48: %LINK-3-UPDOWN: Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:44:54: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:44:56: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:45:00: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:45:02: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:45:07: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:45:11: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:45:26: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:45:30: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:45:42: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:45:44: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:45:47: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:46:21: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:46:33: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:46:38: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:46:41: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:46:48: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:46:51: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:46:53: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:46:56: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:47:03: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:47:12: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:47:26: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:47:31: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:47:32: %LINK-3-UPDOWN: Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:47:38: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:47:41: %LINK-3-UPDOWN: Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:47:50: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet4/0/9, changed state to down
Jun 15 18:47:50: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:47:51: %LINK-3-UPDOWN: Interface GigabitEthernet4/0/9, changed state to down
Jun 15 18:47:52: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:47:55: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:48:07: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:48:10: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:48:14: %LINK-3-UPDOWN: Interface GigabitEthernet4/0/9, changed state to up
Jun 15 18:48:15: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet4/0/9, changed state to up
Jun 15 18:48:15: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:48:18: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:48:30: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:48:33: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:48:40: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:48:48: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:48:50: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:48:53: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:49:00: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:49:10: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:49:17: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:49:26: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:49:37: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:49:44: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:49:45: %LINK-3-UPDOWN: Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:49:50: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:50:16: %LINK-3-UPDOWN: Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:50:19: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:50:26: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:50:29: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:50:31: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:52:21: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/23, changed state to down
Jun 15 18:52:22: %LINK-3-UPDOWN: Interface GigabitEthernet3/0/23, changed state to down
Jun 15 18:52:25: %LINK-3-UPDOWN: Interface GigabitEthernet3/0/23, changed state to up
Jun 15 18:52:26: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/23, changed state to up
Jun 15 18:52:58: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/23, changed state to down
Jun 15 18:52:59: %LINK-3-UPDOWN: Interface GigabitEthernet3/0/23, changed state to down
Jun 15 18:53:02: %LINK-3-UPDOWN: Interface GigabitEthernet3/0/23, changed state to up
Jun 15 18:53:03: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/23, changed state to up
Jun 15 18:53:25: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/33, changed state to down
Jun 15 18:53:26: %LINK-3-UPDOWN: Interface GigabitEthernet3/0/33, changed state to down
Jun 15 18:53:29: %LINK-3-UPDOWN: Interface GigabitEthernet3/0/33, changed state to up
Jun 15 18:53:30: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/33, changed state to up
Jun 15 18:55:55: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet4/0/9, changed state to down
Jun 15 18:55:56: %LINK-3-UPDOWN: Interface GigabitEthernet4/0/9, changed state to down
Jun 15 18:56:21: %LINK-3-UPDOWN: Interface GigabitEthernet4/0/9, changed state to up
Jun 15 18:56:22: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet4/0/9, changed state to up
Jun 15 19:10:39: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/33, changed state to down
Jun 15 19:10:40: %LINK-3-UPDOWN: Interface GigabitEthernet3/0/33, changed state to down
Jun 15 19:21:17: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet2/0/36, changed state to down
Jun 15 19:21:18: %LINK-3-UPDOWN: Interface GigabitEthernet2/0/36, changed state to down
Jun 15 19:36:35: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/10, changed state to down
Jun 15 19:36:36: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/10, changed state to down
Jun 15 19:37:33: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet4/0/32, changed state to down
Jun 15 19:37:34: %LINK-3-UPDOWN: Interface GigabitEthernet4/0/32, changed state to down
Jun 15 19:38:09: %SEC_LOGIN-5-LOGIN_SUCCESS: Login Success [user: virp_artkin] [Source: 10.100.220.249] [localport: 22] at 19:38:09 GST Thu Jun 15 2023
Jun 15 19:38:29: %SYS-6-LOGOUT: User virp_artkin has exited tty session 1(10.100.220.249)
Jun 15 19:38:30: %SEC_LOGIN-5-LOGIN_SUCCESS: Login Success [user: virp_artkin] [Source: 10.100.220.249] [localport: 22] at 19:38:30 GST Thu Jun 15 2023
Jun 15 19:38:43: %SYS-6-LOGOUT: User virp_artkin has exited tty session 2(10.100.220.249)
Jun 15 19:46:30: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet2/0/17, changed state to down
Jun 15 19:46:31: %LINK-3-UPDOWN: Interface GigabitEthernet2/0/17, changed state to down
Jun 15 19:46:33: %LINK-3-UPDOWN: Interface GigabitEthernet2/0/17, changed state to up
Jun 15 19:46:34: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet2/0/17, changed state to up
Jun 15 19:57:28: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/10, changed state to up
Jun 15 19:57:29: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/10, changed state to up
Jun 15 20:03:33: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet5/0/5, changed state to down
Jun 15 20:03:34: %LINK-3-UPDOWN: Interface GigabitEthernet5/0/5, changed state to down
Jun 15 20:03:57: %LINK-3-UPDOWN: Interface GigabitEthernet5/0/5, changed state to up
Jun 15 20:03:58: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet5/0/5, changed state to up
Jun 15 20:04:19: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet5/0/5, changed state to down
Jun 15 20:04:20: %LINK-3-UPDOWN: Interface GigabitEthernet5/0/5, changed state to down
Jun 15 20:04:40: %LINK-3-UPDOWN: Interface GigabitEthernet5/0/5, changed state to up
Jun 15 20:04:41: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet5/0/5, changed state to up
Jun 15 20:05:28: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet5/0/5, changed state to down
Jun 15 20:05:29: %LINK-3-UPDOWN: Interface GigabitEthernet5/0/5, changed state to down
Jun 15 20:06:28: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet4/0/18, changed state to down
Jun 15 20:06:29: %LINK-3-UPDOWN: Interface GigabitEthernet4/0/18, changed state to down
Jun 15 20:11:08: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet2/0/27, changed state to down
Jun 15 20:11:09: %LINK-3-UPDOWN: Interface GigabitEthernet2/0/27, changed state to down
Jun 15 20:11:12: %LINK-3-UPDOWN: Interface GigabitEthernet2/0/27, changed state to up
Jun 15 20:11:13: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet2/0/27, changed state to up
Jun 15 20:11:30: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet2/0/14, changed state to down
Jun 15 20:11:31: %LINK-3-UPDOWN: Interface GigabitEthernet2/0/14, changed state to down
Jun 15 20:14:16: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/10, changed state to down
Jun 15 20:14:17: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/10, changed state to down
Jun 15 20:14:19: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/10, changed state to up
Jun 15 20:14:20: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/10, changed state to up
Jun 15 20:28:09: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/23, changed state to down
Jun 15 20:28:10: %LINK-3-UPDOWN: Interface GigabitEthernet3/0/23, changed state to down
Jun 15 20:28:13: %LINK-3-UPDOWN: Interface GigabitEthernet3/0/23, changed state to up
Jun 15 20:28:14: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/23, changed state to up
Jun 15 20:31:37: %SW_MATM-4-MACFLAP_NOTIF: Host 2ebb.b4ae.2f98 in vlan 619 is flapping between port Gi1/0/46 and port Gi3/0/45
Jun 15 20:39:49: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet2/0/3, changed state to down
Jun 15 20:39:50: %LINK-3-UPDOWN: Interface GigabitEthernet2/0/3, changed state to down
Jun 15 20:39:53: %LINK-3-UPDOWN: Interface GigabitEthernet2/0/3, changed state to up
Jun 15 20:39:54: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet2/0/3, changed state to up
Jun 15 20:39:59: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet2/0/3, changed state to down
Jun 15 20:40:00: %LINK-3-UPDOWN: Interface GigabitEthernet2/0/3, changed state to down
Jun 15 20:40:17: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet4/0/44, changed state to down
Jun 15 20:40:18: %LINK-3-UPDOWN: Interface GigabitEthernet4/0/44, changed state to down
Jun 15 20:40:21: %LINK-3-UPDOWN: Interface GigabitEthernet4/0/44, changed state to up
Jun 15 20:40:22: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet4/0/44, changed state to up
Jun 15 20:42:43: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/43, changed state to down
Jun 15 20:42:45: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/43, changed state to up
